date,time,PRICE_ARM_ARM_ON_ROP,PRICE_ROP_ARM_ON_ROP,PRICE_IDXX_IDXX_ON_ON,PRICE_ON_IDXX_ON_ON,BETA_IDXX_ON_ON,SPREAD_IDXX_ON_ON,Z_IDXX_ON_ON,BETA_ARM_ON_ROP,SPREAD_ARM_ON_ROP,Z_ARM_ON_ROP,market_close,SIGNAL_IDXX_ON_ON,SIGNAL_ARM_ON_ROP,POS_IDXX_ON_ON,POS_ARM_ON_ROP,POS_BETA_IDXX_ON_ON,POS_BETA_ARM_ON_ROP,PAIR_BASE_IDXX_ON_ON,PAIR_BASE_ARM_ON_ROP,PAIR_RET_IDXX_ON_ON,PAIR_RET_ARM_ON_ROP,SL_IDXX_ON_ON,SL_ARM_ON_ROP,LOSS_IDXX_ON_ON,LOSS_ARM_ON_ROP,COOLDOWN_IDXX_ON_ON,COOLDOWN_ARM_ON_ROP,CAPITAL_IDXX_ON_ON,CAPITAL_ARM_ON_ROP,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-12-04,15:24:00.000000000,143.19,569.025,428.825,68.27,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:25:00.000000000,143.1621,569.805,428.825,68.475,2.2436005368868828,275.1944532366707,-1.3870867542899383,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:26:00.000000000,143.21,569.82,428.585,68.185,,,,0.39693366130806895,-82.97073888656385,-2.0907102163632603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:27:00.000000000,143.245,570.055,428.58,68.2999,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:28:00.000000000,143.3044,570.055,430.07,68.31,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:29:00.000000000,143.21,570.165,430.07,68.415,2.236116754292571,277.08607225507376,-1.3475965391103082,0.40447144469776175,-87.40546126609931,-2.0838595405090548,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:30:00.000000000,142.78,570.83,430.07,68.4,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:31:00.000000000,142.795,570.9,431.07,68.39,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:32:00.000000000,142.875,571.15,431.12,68.5,,,,0.4118615364009495,-92.35971651540231,-2.0836302413774335,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,15:33:00.000000000,142.82,573.445,431.12,68.505,2.2283282400653697,278.4683739143219,-1.3201479067564728,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
